,username,tweet,link,date,language,near
0,StephenMeyerRDC,Haven’t slept 1 second yet thanks to the COVID/flu vax combo and feel like death. But this is still 100x better than risking anyone I love.  https://t.co/HSOqgHskv3,https://twitter.com/StephenMeyerRDC/status/1465943592040550400,2021-12-01 10:19:22,en,New Jersey
1,KazuMajiQueen,Jeez even the glory holes aren't safe from covid. 🕳🍆,https://twitter.com/KazuMajiQueen/status/1465936756268748802,2021-12-01 09:52:13,en,New Jersey
2,Fury1184,Supporting humanitarian scientific research is important to me. That's why I donated my device's processing time to OpenPandemics - COVID-19 through @WCGrid and earned a 1 year contribution badge. Join me!  https://t.co/qyyavAEsZl,https://twitter.com/Fury1184/status/1465919854641557504,2021-12-01 08:45:03,en,New Jersey
3,hoodietrades,@dingersandks @simplerusername @EricTopol Hospitalization and death *from covid*. Get your facts straight. Look at all cause mortality and morbidity. Theres more to health outcomes than just covid related.  https://t.co/cTkHxZCp2D,https://twitter.com/hoodietrades/status/1465914379455635457,2021-12-01 08:23:18,en,New Jersey
4,_AJCarroll,"@IDeclareSuccess Dude, me too. After COVID last year - that “your breath in our lungs” is sooooooooooo different!",https://twitter.com/_AJCarroll/status/1465906574761807877,2021-12-01 07:52:17,en,New Jersey
5,SHESTERKlN,@_willnyr_ @JackCurryYES i do usually i’m just sick and cant go back until my covid test results come back 😁,https://twitter.com/SHESTERKlN/status/1465903179359526918,2021-12-01 07:38:47,en,New Jersey
6,cosmas_tom,"@6abc So, Dr Oz thinks Trump had a better plan for combating COVID-19 than Biden??!!!",https://twitter.com/cosmas_tom/status/1465897904829345792,2021-12-01 07:17:50,en,New Jersey
7,marypmadigan,"@JJ_McCullough At home. Before the vaccines, people who were isolating at home were more likely to get COVID than people who were working outside (with or without masks)   https://t.co/W4SFrT4dIn",https://twitter.com/marypmadigan/status/1465897135430414339,2021-12-01 07:14:46,en,New Jersey
8,Kbopping_en,‘Cold symptoms’ aespa Karina-Winter-NingNing tests negative for COVID-19  https://t.co/5wPyjl5yv3  https://t.co/nBFIxrHemt,https://twitter.com/Kbopping_en/status/1465894717489623043,2021-12-01 07:05:10,en,New Jersey
9,artiedoc,This is not good 👇🏼👇🏼👇🏼 Two Israeli doctors test positive for Omicron COVID variant   https://t.co/DjVdSAi3dQ,https://twitter.com/artiedoc/status/1465887066999373824,2021-12-01 06:34:46,en,New Jersey
10,halfxwaygone,"There’s two shows i want to see this month, but between covid and steep ticket prices I’m just not sure. Such conflict 😕",https://twitter.com/halfxwaygone/status/1465886430840905730,2021-12-01 06:32:14,en,New Jersey
11,njvinnie,"Maybe I can run for office in PA too.  Just ignore my screen name and lifelong residence in NJ.  I can get myself a nice post office box in Easton and spout Covid disinformation.  That’s all it takes, right?  🤣🤣🤣",https://twitter.com/njvinnie/status/1465883057366446082,2021-12-01 06:18:50,en,New Jersey
12,NJSpotlightNews,"Rowan University students say NJ colleges should offer more mental health services, especially during the transition back to the classroom after COVID-19 lockdowns. @BFlanaganNJ reports.  https://t.co/9gLiChBPl5",https://twitter.com/NJSpotlightNews/status/1465878326925402118,2021-12-01 06:00:02,en,New Jersey
13,MichaelJRanieri,@ChuckCallesto Maybe covid will fix his brain!,https://twitter.com/MichaelJRanieri/status/1465877308124844032,2021-12-01 05:55:59,en,New Jersey
